FERIEN IM SCHULJAHR 2022/2023,,,,,,,,,,,,,,,,
in den Ländern in der Bundesrepublik Deutschland 1,,,,,,,,,,,,,,,,
http://www.kmk.org/ferienkalender.html,,,,,,,,,,,,,,,,
Land*,,,"Herbst
2022","Weihnachten
2022/2023","Winter
2023",,,"Ostern/Frühjahr
2023",,"Himmelfahrt/Pfingsten
2023",,,"Sommer
2023",,,
Baden-Württemberg (5),,,"31.10.
02.11. – 4.11.",21.12. – 07.01.,--,,,"06.04.
11.04. – 15.04.",,30.05. – 09.06.,,,27.07. – 09.09.,,,
Bayern,,,31.10. – 04.11.,24.12. – 07.01.,--,,,"20.02. – 24.02.
03.04. – 15.04.",,30.05. – 09.06.,,,31.07. – 11.09.,,,
Berlin,,,24.10. – 05.11.,22.12. – 02.01.,30.01. – 04.02.,,,03.04. – 14.04.,,30.05.,,,13.07. – 25.08.,,,
Brandenburg (1),,,24.10. – 05.11.,22.12. – 03.01.,30.01. – 03.02.,,,03.04. – 14.04.,,--,,,13.07. – 26.08.,,,
Bremen,,,17.10. – 29.10.,23.12. – 06.01.,30.01. – 31.01.,,,27.03. – 11.04.,,19.05./30.05.,,,06.07. – 16.08.,,,
Hamburg,,,10.10. – 21.10.,23.12. – 06.01.,27.01.,,,06.03. – 17.03.,,15.05. – 19.05.,,,13.07. – 23.08.,,,
Hessen (4),,,24.10. – 29.10.,22.12. – 07.01.,--,,,03.04. – 22.04.,,--,,,24.07. – 01.09.,,,
Mecklenburg-Vorpommern,,,"10.10. – 14.10
01.11. – 02.11.",22.12. – 02.01.,06.02. – 18.02,,,03.04. – 12.04.,,"19.05.
26.05. – 30.05.",,,17.07. - 26.08.,,,
Niedersachsen,,,17.10. – 28.10.,23.12. – 06.01.,30.01. – 31.01.,,,27.03. – 11.04.,,19.05./30.05.,,,06.07. – 16.08.,,,
Nordrhein-Westfalen (3),,,04.10. – 15.10.,23.12. – 06.01.,--,,,03.04. – 15.04.,,30.05.,,,22.06. – 04.08.,,,
Rheinland-Pfalz (6),,,17.10. – 31.10.,23.12. – 02.01.,--,,,03.04. – 06.04.,,30.05. – 07.06.,,,24.07. – 01.09.,,,
Saarland (1),,,24.10. - 04.11.,22.12. – 04.01.,20.02. – 24.02.,,,03.04. – 12.04.,,30.05. – 02.06.,,,24.07. – 01.09.,,,
Sachsen (1),,,17.10. – 29.10.,22.12. – 02.01.,13.02. – 24.02.,,,07.04. – 15.04.,,19.05.,,,10.07. – 18.08.,,,
Sachsen-Anhalt,,,24.10. – 04.11.,21.12. – 05.01.,06.02. – 11.02.,,,03.04. – 08.04.,,15.05. – 19.05.,,,06.07. – 16.08.,,,
Schleswig-Holstein (2),,2,10.10. – 21.10.,23.12. – 07.01.,--,,,06.04. – 22.04.,,19.05. – 20.05.,,,17.07. – 26.08.,,,
Thüringen (2),,,17.10. – 29.10.,22.12. – 03.01.,13.02. – 17.02.,,,03.04. – 15.04.,,19.05.,,,10.07. – 19.08.,,,
*in Klammern ist die Zahl der beweglichen Ferientage angegeben.,,,,,,,,,,,,,,,,
Stand: 16.01.2020,,,,,,,,,,,,,,,,
1,Angegeben ist jeweils der erste und letzte Ferientag.,,,,,,,,,,,,,,,
,-,"Während die Kultusministerkonferenz die Sommerferien langfristig vereinbart, werden die übrigen Ferientermine von den Ländern",,,,,,,,,selbst bestimmt. Die Länder übermitteln ihre,,,,,
,,"Ferientermine dem Sekretariat der Kultusministerkonferenz,",,das,sie,als,Übersicht,veröffentlicht.,Konkrete,Nachfragen,bezüglich,der,Ferienregelungen,sind,bei,den
,,Schulverwaltungen der Länder zu stellen.,,,,,,,,,,,,,,
,-,Schul- und unterrichtsfreie Tage sind kursiv gekennzeichnet.,,,,,,,,,,,,,,
,-,Die Veröffentlichung erfolgt fortlaufend.,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,
,"SH - Auf den Inseln Sylt, Föhr, Amrum und Helgoland sowie auf den Halligen gelten für die Sommer- und Herbstferien Sonderregelungen.",,,,,,,,,,,,,,,
Sekretariat der Kultusministerkonferenz,,,,,,,,,,,,,,,,
Taubenstraße 10 · 10117 Berlin Postfach 11 03 42 · 10833 Berlin Tel.: 030 25418-499,,,,,,,,Graurheindorfer Straße 157 · 53117 Bonn,,,Postfach 22 40 · 53012 Bonn,,,Tel.: 0228 501-0,,
